name,train_mrr,val_mrr,mrr,hit@1,val_hit@1,recall@10,val_recall@10,ndcg@5
"bm25+expand[k100,sym,h1,a0.2]",0.4222,0.3217,0.382,0.225,0.1875,0.625,0.5625,0.3581
"bm25+expand[k100,sym,h1,a0.3]",0.4948,0.3132,0.4222,0.3,0.1875,0.65,0.5625,0.3736
"bm25+expand[k100,sym,h1,a0.5]",0.5402,0.2954,0.4423,0.35,0.1875,0.675,0.625,0.3791
"bm25+expand[k100,sym,h1,a0.8]",0.4646,0.142,0.3355,0.2,0.0,0.6,0.5,0.3136
"bm25+expand[k100,sym,h1,a1.2]",0.3656,0.1169,0.2661,0.125,0.0,0.575,0.4375,0.2747
"bm25+expand[k100,sym,h1,a2.0]",0.2684,0.0815,0.1936,0.075,0.0,0.5,0.25,0.2228
"bm25+expand[k100,sym,h2,a0.02]",0.3546,0.317,0.3395,0.2,0.1875,0.6,0.5625,0.3084
"bm25+expand[k100,sym,h2,a0.05]",0.3671,0.3173,0.3472,0.2,0.1875,0.625,0.5625,0.3158
"bm25+expand[k100,sym,h2,a0.1]",0.3787,0.3211,0.3556,0.2,0.1875,0.625,0.5625,0.328
"bm25+expand[k100,sym,h2,a0.2]",0.4045,0.3201,0.3707,0.225,0.1875,0.625,0.5625,0.3449
"bm25+expand[k100,sym,h2,a0.3]",0.4403,0.3186,0.3916,0.25,0.1875,0.625,0.5625,0.3537
"bm25+expand[k100,sym,h2,a0.5]",0.4552,0.2549,0.3751,0.25,0.125,0.625,0.5625,0.3494
"bm25+expand[k100,sym,h2,a0.8]",0.434,0.192,0.3372,0.225,0.0625,0.575,0.4375,0.3176
"bm25+expand[k100,sym,h2,a1.2]",0.3819,0.1467,0.2878,0.15,0.0,0.575,0.375,0.2802
"bm25+expand[k100,sym,h2,a2.0]",0.3375,0.114,0.2481,0.125,0.0,0.6,0.375,0.2565
"bm25+expand_sel[k10,sum,h1,a0.02]",0.3573,0.3171,0.3412,0.2,0.1875,0.6,0.5625,0.3092
"bm25+expand_sel[k10,sum,h1,a0.05]",0.4186,0.3242,0.3808,0.25,0.1875,0.625,0.625,0.3376
"bm25+expand_sel[k10,sum,h1,a0.1]",0.4122,0.3293,0.3791,0.25,0.1875,0.625,0.625,0.3453
"bm25+expand_sel[k10,sum,h1,a0.2]",0.4034,0.3245,0.3718,0.25,0.1875,0.625,0.5625,0.3354
"bm25+expand_sel[k10,sum,h1,a0.3]",0.3999,0.3207,0.3682,0.25,0.1875,0.6,0.5625,0.3314
"bm25+expand_sel[k10,sum,h1,a0.5]",0.3742,0.2854,0.3387,0.2,0.125,0.65,0.6875,0.3291
"bm25+expand_sel[k10,sum,h1,a0.8]",0.3237,0.3155,0.3204,0.2,0.1875,0.625,0.625,0.3395
"bm25+expand_sel[k10,sum,h1,a1.2]",0.2961,0.2566,0.2803,0.175,0.125,0.575,0.625,0.2829
"bm25+expand_sel[k10,sum,h1,a2.0]",0.2071,0.2285,0.2157,0.1,0.125,0.4,0.4375,0.2307
