name,train_mrr,val_mrr,mrr,hit@1,val_hit@1,recall@10,val_recall@10,ndcg@5
"rrf+expand_sel[k10,sym,h2,a0.1]",0.4909,0.3842,0.4482,0.3,0.25,0.75,0.6875,0.4236
"rrf+expand_sel[k10,sym,h2,a0.2]",0.4983,0.4003,0.4591,0.325,0.25,0.75,0.6875,0.4498
"rrf+expand_sel[k10,sym,h2,a0.3]",0.4979,0.4112,0.4632,0.325,0.25,0.75,0.75,0.4714
"rrf+expand_sel[k10,sym,h2,a0.5]",0.4322,0.4181,0.4265,0.25,0.25,0.75,0.75,0.4455
"rrf+expand_sel[k10,sym,h2,a0.8]",0.3985,0.3969,0.3979,0.225,0.25,0.75,0.6875,0.447
"rrf+expand_sel[k10,sym,h2,a1.2]",0.3783,0.3465,0.3656,0.175,0.1875,0.725,0.625,0.408
"rrf+expand_sel[k10,sym,h2,a2.0]",0.3185,0.3561,0.3335,0.175,0.25,0.725,0.625,0.3758
"rrf+expand_sel[k30,sum,h1,a0.05]",0.5153,0.3975,0.4682,0.325,0.25,0.75,0.6875,0.443
"rrf+expand_sel[k30,sum,h1,a0.1]",0.4971,0.4261,0.4687,0.35,0.3125,0.725,0.625,0.445
"rrf+expand_sel[k30,sum,h1,a0.2]",0.4236,0.3883,0.4095,0.275,0.25,0.675,0.5625,0.4254
"rrf+expand_sel[k30,sum,h1,a0.3]",0.3426,0.3799,0.3575,0.225,0.25,0.65,0.5625,0.3864
"rrf+expand_sel[k30,sum,h1,a0.5]",0.2593,0.2972,0.2745,0.15,0.1875,0.6,0.5625,0.302
"rrf+expand_sel[k30,sum,h1,a0.8]",0.2395,0.259,0.2473,0.15,0.1875,0.55,0.5,0.2787
"rrf+expand_sel[k30,sum,h1,a1.2]",0.1948,0.256,0.2193,0.125,0.1875,0.525,0.4375,0.2415
"rrf+expand_sel[k30,sum,h1,a2.0]",0.1747,0.2492,0.2045,0.125,0.1875,0.475,0.4375,0.2174
"rrf+expand_sel[k30,sum,h2,a0.05]",0.268,0.3552,0.3029,0.125,0.25,0.675,0.5625,0.3261
"rrf+expand_sel[k30,sum,h2,a0.1]",0.2191,0.3082,0.2547,0.075,0.1875,0.65,0.5625,0.2769
"rrf+expand_sel[k30,sum,h2,a0.2]",0.2071,0.2868,0.239,0.075,0.1875,0.55,0.4375,0.2679
"rrf+expand_sel[k30,sum,h2,a0.3]",0.2059,0.2793,0.2353,0.075,0.1875,0.5,0.4375,0.2673
"rrf+expand_sel[k30,sum,h2,a0.5]",0.1984,0.2741,0.2286,0.075,0.1875,0.5,0.5,0.2578
"rrf+expand_sel[k30,sum,h2,a0.8]",0.1951,0.2425,0.214,0.05,0.125,0.475,0.5,0.2508
"rrf+expand_sel[k30,sum,h2,a1.2]",0.1939,0.2386,0.2118,0.05,0.125,0.475,0.5,0.2508
"rrf+expand_sel[k30,sum,h2,a2.0]",0.1933,0.2374,0.2109,0.05,0.125,0.475,0.5,0.2512
"rrf+expand_sel[k30,mean,h1,a0.05]",0.4984,0.451,0.4795,0.35,0.375,0.775,0.6875,0.4131
"rrf+expand_sel[k30,mean,h1,a0.1]",0.4582,0.4308,0.4472,0.325,0.375,0.75,0.625,0.3948
"rrf+expand_sel[k30,mean,h1,a0.2]",0.4638,0.4272,0.4491,0.325,0.375,0.75,0.625,0.4007
"rrf+expand_sel[k30,mean,h1,a0.3]",0.4718,0.4228,0.4522,0.35,0.375,0.725,0.625,0.4047
"rrf+expand_sel[k30,mean,h1,a0.5]",0.3914,0.3623,0.3797,0.225,0.25,0.675,0.5625,0.3711
"rrf+expand_sel[k30,mean,h1,a0.8]",0.3311,0.229,0.2903,0.15,0.125,0.6,0.5,0.2847
"rrf+expand_sel[k30,mean,h1,a1.2]",0.2761,0.1927,0.2427,0.125,0.125,0.55,0.5,0.2123
"rrf+expand_sel[k30,mean,h1,a2.0]",0.1891,0.0992,0.1531,0.025,0.0,0.45,0.3125,0.1275
"rrf+expand_sel[k30,mean,h2,a0.05]",0.538,0.4398,0.4987,0.4,0.375,0.75,0.6875,0.4403
"rrf+expand_sel[k30,mean,h2,a0.1]",0.508,0.4397,0.4807,0.375,0.375,0.75,0.6875,0.4441
"rrf+expand_sel[k30,mean,h2,a0.2]",0.4936,0.4232,0.4654,0.325,0.3125,0.75,0.6875,0.4442
"rrf+expand_sel[k30,mean,h2,a0.3]",0.4647,0.4157,0.4451,0.3,0.3125,0.725,0.625,0.421
"rrf+expand_sel[k30,mean,h2,a0.5]",0.4633,0.3533,0.4193,0.3,0.25,0.725,0.625,0.3948
"rrf+expand_sel[k30,mean,h2,a0.8]",0.4258,0.2969,0.3743,0.25,0.1875,0.7,0.625,0.3542
"rrf+expand_sel[k30,mean,h2,a1.2]",0.3828,0.2225,0.3187,0.175,0.0625,0.65,0.5625,0.2898
"rrf+expand_sel[k30,mean,h2,a2.0]",0.3142,0.1931,0.2657,0.125,0.0625,0.575,0.5,0.2364
"rrf+expand_sel[k30,sym,h1,a0.05]",0.5062,0.4522,0.4846,0.35,0.375,0.775,0.6875,0.4251
"rrf+expand_sel[k30,sym,h1,a0.1]",0.5154,0.4351,0.4833,0.375,0.375,0.75,0.625,0.422
